epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,701.037,1.33615,0.88246,0.90176,0.72925,0.73742,0.79376,0.49608,1.2897,0.90411,0.92736,0.0005546,0.0005546,0.0005546
75,713.093,1.33308,0.87655,0.90488,0.72621,0.73709,0.79379,0.49944,1.27975,0.8996,0.92972,0.0005348,0.0005348,0.0005348
76,723.875,1.33748,0.86962,0.90378,0.73557,0.74816,0.79233,0.49412,1.28396,0.90376,0.93182,0.000515,0.000515,0.000515
77,735.054,1.32665,0.86147,0.89208,0.72798,0.74346,0.79215,0.49308,1.29136,0.89906,0.93177,0.0004952,0.0004952,0.0004952
78,745.856,1.3273,0.85902,0.89905,0.7371,0.74089,0.79611,0.49808,1.2695,0.89539,0.92498,0.0004754,0.0004754,0.0004754
79,756.047,1.3242,0.87326,0.90082,0.7301,0.75319,0.79467,0.49531,1.27525,0.90106,0.92855,0.0004556,0.0004556,0.0004556
80,766.574,1.3298,0.86599,0.89389,0.70762,0.73374,0.76878,0.48074,1.28588,0.9321,0.93244,0.0004358,0.0004358,0.0004358
81,776.946,1.2971,0.85167,0.89388,0.72239,0.7173,0.78045,0.489,1.28228,0.91649,0.92965,0.000416,0.000416,0.000416
82,786.26,1.31368,0.85784,0.89362,0.7226,0.73553,0.78329,0.48676,1.30474,0.91716,0.93467,0.0003962,0.0003962,0.0003962
83,795.636,1.30188,0.85185,0.89315,0.72427,0.7505,0.79683,0.5014,1.26409,0.89156,0.9283,0.0003764,0.0003764,0.0003764
84,804.953,1.3037,0.84358,0.90294,0.74051,0.7292,0.79004,0.49596,1.28268,0.90517,0.92996,0.0003566,0.0003566,0.0003566
85,814.126,1.30196,0.84993,0.89219,0.74068,0.73754,0.79744,0.50277,1.26508,0.88585,0.92969,0.0003368,0.0003368,0.0003368
86,823.272,1.30882,0.84793,0.89393,0.75154,0.72324,0.79538,0.49853,1.28173,0.8908,0.92789,0.000317,0.000317,0.000317
87,832.308,1.2842,0.84212,0.88707,0.75406,0.72837,0.80091,0.50996,1.25316,0.87782,0.92399,0.0002972,0.0002972,0.0002972
88,841.477,1.28962,0.84305,0.88698,0.75256,0.72871,0.80144,0.50352,1.26604,0.8833,0.9265,0.0002774,0.0002774,0.0002774
89,850.698,1.28578,0.83905,0.89015,0.73707,0.73105,0.79554,0.49643,1.27979,0.90699,0.92911,0.0002576,0.0002576,0.0002576
90,859.807,1.27617,0.83635,0.89422,0.74973,0.72669,0.80182,0.50788,1.25873,0.88533,0.92463,0.0002378,0.0002378,0.0002378
91,905.518,1.22961,0.83762,0.89916,0.75954,0.71713,0.8008,0.50995,1.24671,0.90452,0.92371,0.000218,0.000218,0.000218
92,914.332,1.19732,0.80843,0.89651,0.75793,0.73541,0.80559,0.51425,1.24809,0.88005,0.92298,0.0001982,0.0001982,0.0001982
93,923.226,1.17761,0.79709,0.89329,0.75547,0.73977,0.80273,0.51022,1.25535,0.87366,0.92406,0.0001784,0.0001784,0.0001784
94,932.023,1.19874,0.79835,0.89115,0.74041,0.73977,0.7989,0.50227,1.2726,0.88383,0.9297,0.0001586,0.0001586,0.0001586
95,940.746,1.18751,0.79994,0.89232,0.73771,0.73944,0.79894,0.50284,1.26897,0.88263,0.92887,0.0001388,0.0001388,0.0001388
96,949.527,1.17945,0.79583,0.89332,0.74726,0.73374,0.80168,0.50768,1.25217,0.87374,0.9242,0.000119,0.000119,0.000119
97,958.402,1.18556,0.79549,0.88644,0.74706,0.73843,0.80282,0.51014,1.25753,0.87059,0.92537,9.92e-05,9.92e-05,9.92e-05
98,967.543,1.17209,0.78201,0.89161,0.75003,0.73655,0.80326,0.51336,1.24099,0.87056,0.92428,7.94e-05,7.94e-05,7.94e-05
99,976.305,1.17015,0.78221,0.88593,0.74543,0.73944,0.80206,0.51121,1.24644,0.87118,0.9238,5.96e-05,5.96e-05,5.96e-05
100,985.176,1.16249,0.77631,0.88698,0.74746,0.73944,0.80265,0.51135,1.24515,0.86679,0.92513,3.98e-05,3.98e-05,3.98e-05
